TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS
22/07/2016;24.4;29.8;25.4;91;12.809.338.454.620.600;3.6
23/07/2016;23.4;29.8;26.5;88;18.870.696.490.323.700;2.5
24/07/2016;23.8;31.2;26.4;90;0.5877866649021191;3.5
25/07/2016;24.0;29.0;26.1;91;39.627.161.197.436.600;4.6
26/07/2016;23.5;29.6;25.5;90;1.252.762.968.495.360;0.5
27/07/2016;23.2;32.2;27.9;82;1.308.332.819.650.170;0.9
28/07/2016;24.2;30.4;26.5;87;0.0;6.7
29/07/2016;24.4;30.7;27.8;83;34.242.626.545.931.500;4.8
30/07/2016;24.2;30.2;27.0;88;3.034.952.986.707.270;5.8
31/07/2016;24.0;32.2;27.9;83;2.388.762.789.235.090;6.8
08/01/2016;24.4;31.4;26.8;88;0.0;7.8
08/02/2016;25.0;31.1;28.2;80;13.862.943.611.198.900;3.1
08/03/2016;25.4;29.8;26.3;88;0.0;7.0
08/04/2016;25.4;30.0;27.4;81;31.179.499.062.782.400;0.9
08/05/2016;25.4;32.8;28.4;82;2.468.099.531.471.610;1.2
08/06/2016;25.6;33.0;28.3;84;0.0;3.5
08/07/2016;26.0;32.0;28.7;81;0.8754687373538999;6.05
08/08/2016;25.8;32.4;28.9;81;0.0;8.6
08/09/2016;26.1;31.8;27.9;80;0.0;8.1
08/10/2016;25.4;32.6;28.9;80;0.4054651081081644;8.0
08/11/2016;25.4;31.2;28.3;82;0.0;9.0
08/12/2016;25.2;32.4;28.5;80;0.0;4.4
13/08/2016;25.2;31.8;28.9;79;0.0;7.5
14/08/2016;25.6;29.8;26.2;87;2.509.599.262.378.370;4.65
15/08/2016;25.8;32.0;28.4;79;20.149.030.205.422.600;1.8
16/08/2016;26.0;32.6;29.2;79;0.0;9.1
17/08/2016;26.4;32.6;29.4;78;0.0;10.0
18/08/2016;26.5;33.2;29.6;76;0.0;9.2
19/08/2016;23.8;31.0;27.8;85;272.785.282.839.839;10.9
20/08/2016;23.8;31.6;28.7;80;15.686.159.179.138.400;4.1
21/08/2016;23.8;31.55;28.549.999.999.999.900;92;0.0;7.5
22/08/2016;23.8;31.5;28.4;82;28.449.093.838.194.000;0.7
23/08/2016;25.2;32.4;28.7;80;0.0;4.0
24/08/2016;24.9;29.8;27.5;85;14.816.045.409.242.100;2.95
25/08/2016;24.6;30.8;27.2;82;20.541.237.336.955.400;1.9
26/08/2016;23.6;31.8;28.3;80;24.159.137.783.010.400;2.1
27/08/2016;25.2;29.4;26.6;85;0.0;3.2
28/08/2016;24.6;32.8;28.7;79;0.0;0.7
29/08/2016;25.6;32.9;28.9;81;0.0;9.6
30/08/2016;25.6;29.6;26.2;91;0.4054651081081644;9.2
31/08/2016;24.8;31.6;27.4;86;26.602.595.372.658.600;3.5
09/01/2016;24.4;29.8;25.4;93;29.626.924.194.757.900;7.5
09/02/2016;23.4;31.5;27.5;81;31.945.831.322.991.500;7.05
09/03/2016;24.0;32.8;27.1;84;0.0;6.6
09/04/2016;24.0;32.6;26.9;84;26.602.595.372.658.600;6.15
09/05/2016;24.0;30.6;26.8;88;1.916.922.612.182.060;5.7
09/06/2016;24.6;30.6;27.2;86;11.314.021.114.911.000;4.4
09/07/2016;24.6;27.5;25.6;95;0.6931471805599453;3.9
09/08/2016;23.6;31.3;28.3;84;33.141.860.046.725.200;0.0
09/09/2016;25.5;32.8;28.6;81;0.0;2.6
09/10/2016;24.45;28.8;25.7;92;24.292.177.439.274.100;1.5
09/11/2016;23.4;32.2;27.8;83;3.077.312.260.546.410;0.4
09/12/2016;24.0;31.7;26.0;88;11.631.508.098.056.800;7.8
13/09/2016;23.5;32.4;28.5;81;33.463.891.451.671.600;4.1
14/09/2016;24.4;29.5;25.1;94;0.0;9.0
15/09/2016;23.0;32.2;28.3;82;33.357.695.763.397;0.2
16/09/2016;24.7;31.0;27.1;81;3.266.713.154.282.360;25.500.000.000.000.000
17/09/2016;24.2;31.0;28.1;79;3.192.531.849.528.590;4.9
18/09/2016;24.8;32.4;28.3;79;3.112.403.580.357.680;5.3
19/09/2016;24.6;30.2;26.8;86;30.252.910.757.955.300;8.9
20/09/2016;23.8;31.3;27.3;86;24.932.054.526.026.900;0.0
21/09/2016;24.5;32.4;27.4;81;11.314.021.114.911.000;1.2
22/09/2016;24.9;31.4;28.1;84;0.7178397931503169;1.25
23/09/2016;25.3;32.0;28.2;80;0.0;1.3
24/09/2016;25.2;32.3;28.4;80;0.0;7.9
25/09/2016;25.2;32.4;28.0;83;0.0;8.3
26/09/2016;24.8;32.9;28.4;78;10.986.122.886.681.000;5.5
27/09/2016;25.3;32.8;27.7;84;0.0;7.7
28/09/2016;24.4;33.6;28.8;78;0.0;0.8
29/09/2016;24.5;33.2;28.5;74;0.0;2.0
30/09/2016;24.6;31.4;27.4;81;0.04879016416943201;8.8
10/01/2016;25.4;30.8;26.7;88;0.09531017980432487;6.7
10/02/2016;24.8;32.4;28.6;82;17.578.579.175.523.700;1.5
10/03/2016;24.0;30.8;27.0;81;21.041.341.542.702.000;5.7
10/04/2016;24.4;31.8;28.2;79;15.260.563.034.950.400;6.9
10/05/2016;24.8;31.4;28.0;83;0.0;8.1
10/06/2016;25.2;29.0;26.0;92;10.116.009.116.784.700;4.3
10/07/2016;24.4;28.3;24.8;96;15.040.773.967.762.700;0.0
10/08/2016;23.5;31.8;28.0;81;4.598.145.571.051.120;0.8
10/09/2016;23.8;31.6;27.7;85;0.0;1.4
10/10/2016;25.0;32.8;28.7;80;0.0;4.15
10/11/2016;25.6;33.0;29.0;80;0.0;6.9
10/12/2016;26.5;33.7;28.1;83;0.0;4.5
13/10/2016;25.8;31.3;27.9;84;0.0;0.8
14/10/2016;24.8;31.8;27.7;84;0.0;1.5
15/10/2016;25.9;33.0;28.6;79;0.33647223662121295;0.0
16/10/2016;25.549.999.999.999.900;30.6;27.6;87;11.474.024.528.375.400;7.0
17/10/2016;25.2;30.0;27.3;86;1.589.235.205.116.580;0.3
18/10/2016;24.8;33.2;29.3;80;0.0;0.2
19/10/2016;24.1;32.650.000.000.000.000;28.75;91;0.0;10.7
20/10/2016;23.4;32.1;28.2;86;21.041.341.542.702.000;1.0
21/10/2016;24.6;33.2;29.0;78;0.0;6.6
22/10/2016;24.9;30.6;27.3;88;22.082.744.135.228.000;4.7
23/10/2016;25.2;29.8;26.1;88;28.449.093.838.194.000;2.0
24/10/2016;24.2;29.2;27.0;88;17.047.480.922.384.200;0.2
25/10/2016;25.0;31.0;25.2;90;22.823.823.856.765.200;0.0
26/10/2016;22.6;31.2;27.6;85;4.063.885.354.737.390;2.0
27/10/2016;24.4;31.4;27.3;84;0.0;6.2
28/10/2016;25.2;30.0;27.0;87;0.4382549309311553;2.8
29/10/2016;24.2;30.6;26.7;88;0.7419373447293773;1.1
30/10/2016;24.4;29.0;26.3;88;19.459.101.490.553.100;5.8
31/10/2016;24.4;31.9;28.1;82;0.5877866649021191;0.8
11/01/2016;24.4;30.0;27.1;88;3.122.364.924.487.350;7.2
11/02/2016;23.8;30.9;27.4;82;1.252.762.968.495.360;0.0
11/03/2016;24.5;30.4;27.5;84;22.925.347.571.405.400;1.4
11/04/2016;25.2;31.6;27.8;84;0.7884573603642702;2.8
11/05/2016;24.2;27.5;26.1;91;30.587.070.727.153.700;5.6
11/06/2016;24.8;32.4;28.4;83;23.978.952.727.983.700;0.0
11/07/2016;23.6;32.65;28.35;96;0.0;3.0
11/08/2016;22.5;32.9;28.3;80;4.711.330.381.816.480;1.6
11/09/2016;24.6;30.2;26.8;90;4.062.165.663.857.860;9.4
11/10/2016;24.6;30.4;26.3;92;16.094.379.124.341.000;1.1
11/11/2016;23.8;28.4;25.9;92;36.506.582.412.937.300;2.3
11/12/2016;23.8;30.4;26.9;88;11.939.224.684.724.300;0.0
13/11/2016;24.6;28.7;26.0;94;2.322.387.720.290.220;4.2
14/11/2016;24.4;28.5;24.8;95;28.213.788.864.092.100;0.0
15/11/2016;24.2;31.4;27.6;85;4.574.710.978.503.380;0.1
16/11/2016;24.0;29.4;26.1;89;4.001.863.709.427.930;2.2
17/11/2016;23.8;31.4;27.7;84;0.4700036292457356;1.2
18/11/2016;22.6;31.5;27.3;87;25.952.547.069.568.600;1.6
19/11/2016;24.8;31.7;27.5;85;19.740.810.260.220.000;4.5
20/11/2016;24.0;31.9;27.4;88;0.0;4.5
21/11/2016;24.8;29.8;27.3;89;21.400.661.634.962.700;5.1
22/11/2016;24.8;28.4;26.0;93;2.066.862.759.472.970;0.0
23/11/2016;24.0;29.0;26.7;88;3.775.057.150.354.980;0.0
24/11/2016;24.2;29.1;25.9;93;0.0;0.5
25/11/2016;23.8;31.3;27.3;86;14.350.845.252.893.200;1.6
26/11/2016;24.5;31.6;27.8;86;34.291.367.503.513.900;4.8
27/11/2016;23.6;28.0;26.0;93;4.051.784.947.803.300;2.4
28/11/2016;23.6;27.55;26.3;92;0.6418538861723948;0.0
29/11/2016;24.6;27.5;25.4;95;289.591.193.827.178;0.0
30/11/2016;24.0;31.7;27.4;83;15.686.159.179.138.400;0.0
12/01/2016;23.7;27.5;24.8;96;3.417.726.683.613.360;8.4
12/02/2016;23.4;31.0;27.4;85;4.268.297.869.345.530;0.0
12/03/2016;23.0;30.4;26.2;90;233.214.389.523.559;8.3
12/04/2016;23.4;30.6;27.7;86;20.412.203.288.596.300;2.2
12/05/2016;25.0;31.3;28.2;85;0.0;5.1
12/06/2016;25.7;33.4;28.5;84;0.4054651081081644;4.9
12/07/2016;22.8;33.8;27.6;85;2.639.057.329.615.250;7.7
12/08/2016;22.8;32.4;28.1;82;0.26236426446749106;6.0
12/09/2016;24.4;30.6;26.8;88;2.740.840.023.925.200;4.8
12/10/2016;24.8;31.5;27.4;83;0.7419373447293773;3.1
12/11/2016;22.7;29.8;27.1;84;23.702.437.414.678.600;2.8
12/12/2016;24.0;31.5;28.2;78;1.916.922.612.182.060;0.7
13/12/2016;25.0;32.0;27.3;83;10.647.107.369.924.200;4.2
14/12/2016;24.6;33.0;27.7;83;19.600.947.840.472.600;6.8
15/12/2016;24.6;33.1;28.4;82;0.6931471805599453;7.5
16/12/2016;25.0;32.2;27.8;85;0.0;7.8
17/12/2016;25.4;31.5;27.7;82;0.0;4.8
18/12/2016;23.8;30.2;27.0;87;1.410.986.973.710.260;5.2
19/12/2016;24.0;32.0;27.8;82;10.647.107.369.924.200;3.6
