TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS
31/08/2016;24,8;31,6;27,4;86;2,660259537;3,5
09/01/2016;24,4;29,8;25,4;93;2,962692419;7,5
09/02/2016;23,4;31,5;27,5;81;3,194583132;7,05
09/03/2016;24;32,8;27,1;84;0;6,6
09/04/2016;24;32,6;26,9;84;2,660259537;6,15
09/05/2016;24;30,6;26,8;88;1,916922612;5,7
09/06/2016;24,6;30,6;27,2;86;1,131402111;4,4
09/07/2016;24,6;27,2;25,6;95;0,693147181;3,9
09/08/2016;23,6;31,3;28,3;84;3,314186005;0
09/09/2016;25,5;32,8;28,6;81;0;2,6
09/10/2016;24,45;28,8;25,7;92;2,429217744;1,5
09/11/2016;23,4;32,2;27,8;83;3,077312261;0,4
09/12/2016;24;31,7;26;88;1,16315081;7,8
13/09/2016;23,5;32,4;28,5;81;3,346389145;4,1
14/09/2016;24,4;29,5;25,1;94;0;9
15/09/2016;23;32,2;28,3;82;3,335769576;0,2
16/09/2016;24,7;31;27,1;81;3,266713154;2,55
17/09/2016;24,2;31;28,1;79;3,19253185;4,9
18/09/2016;24,8;32,4;28,3;79;3,11240358;5,3
19/09/2016;24,6;30,2;26,8;86;3,025291076;8,9
20/09/2016;23,8;31,3;27,3;86;2,493205453;0
21/09/2016;24,5;32,4;27,4;81;1,131402111;1,2
22/09/2016;24,9;31,4;28,1;84;0,717839793;1,25
23/09/2016;25,3;32;28,2;80;0;1,3
24/09/2016;25,2;32,3;28,4;80;0;7,9
25/09/2016;25,2;32,4;28;83;0;8,3
26/09/2016;24,8;32,9;28,4;78;1,098612289;5,5
27/09/2016;25,3;32,8;27,7;84;0;7,7
28/09/2016;24,4;33,6;28,8;78;0;0,8
29/09/2016;24,5;33,2;28,5;74;0;2
30/09/2016;24,6;31,4;27,4;81;0,048790164;8,8
10/01/2016;25,4;30,8;26,7;88;0,09531018;6,7
10/02/2016;24,8;32,4;28,6;82;1,757857918;1,5
10/03/2016;24;30,8;27;81;2,104134154;5,7
10/04/2016;24,4;31,8;28,2;79;1,526056303;6,9
10/05/2016;24,8;31,4;28;83;0;8,1
10/06/2016;25,2;29;26;92;1,011600912;4,3
10/07/2016;24,4;28,3;24,8;96;1,504077397;0
10/08/2016;23,5;31,8;28;81;4,598145571;0,8
10/09/2016;23,8;31,6;27,7;85;0;1,4
10/10/2016;25;32,8;28,7;80;0;4,15
10/11/2016;25,6;33;29;80;0;6,9
10/12/2016;26,5;33,6;28,1;83;0;4,5
13/10/2016;25,8;31,3;27,9;84;0;0,8
14/10/2016;24,8;31,8;27,7;84;0;1,5
15/10/2016;25,9;33;28,6;79;0,336472237;0
16/10/2016;25,55;30,6;27,6;87;1,147402453;7
17/10/2016;25,2;30;27,3;86;1,589235205;0,3
18/10/2016;24,8;33,2;29,2;80;0;0,2
19/10/2016;24,1;32,65;28,75;91;0;10,7
20/10/2016;23,4;32,1;28,2;86;2,104134154;1
21/10/2016;24,6;33,2;29;78;0;6,6
22/10/2016;24,9;30,6;27,3;88;2,208274414;4,7
23/10/2016;25,2;29,8;26,1;88;2,844909384;2
24/10/2016;24,2;29,2;27;88;1,704748092;0,2
25/10/2016;25;31;25,2;90;2,282382386;0
26/10/2016;22,6;31,2;27,6;85;4,063885355;2
27/10/2016;24,4;31,4;27,3;84;0;6,2
28/10/2016;25,2;30;27;87;0,438254931;2,8
29/10/2016;24,2;30,6;26,7;88;0,741937345;1,1
30/10/2016;24,4;29;26,3;88;1,945910149;5,8
31/10/2016;24,4;31,9;28,1;82;0,587786665;0,8
11/01/2016;24,4;30;27,1;88;3,122364924;7,2
11/02/2016;23,8;30,9;27,4;82;1,252762968;0
11/03/2016;24,5;30,4;27,5;84;2,292534757;1,4
11/04/2016;25,2;31,6;27,8;84;0,78845736;2,8
11/05/2016;24,2;27,4;26,1;91;3,058707073;5,6
11/06/2016;24,8;32,4;28,4;83;2,397895273;0
11/07/2016;23,6;32,65;28,35;96;0;3
11/08/2016;22,4;32,9;28,3;80;4,711330382;1,6
11/09/2016;24,6;30,2;26,8;90;4,062165664;9,4
11/10/2016;24,6;30,4;26,3;92;1,609437912;1,1
11/11/2016;23,8;28,4;25,9;92;3,650658241;2,3
11/12/2016;23,8;30,4;26,9;88;1,193922468;0
13/11/2016;24,6;28,7;26;94;2,32238772;4,2
14/11/2016;24,4;28,5;24,8;95;2,821378886;0
15/11/2016;24,2;31,4;27,6;85;4,574710979;0,1
16/11/2016;24;29,4;26,1;89;4,001863709;2,2
17/11/2016;23,8;31,4;27,7;84;0,470003629;1,2
18/11/2016;22,6;31,5;27,3;87;2,595254707;1,6
19/11/2016;24,8;31,7;27,5;85;1,974081026;4,5
20/11/2016;24;31,9;27,4;88;0;4,5
21/11/2016;24,8;29,8;27,3;89;2,140066163;5,1
22/11/2016;24,8;28,4;26;93;2,066862759;0
23/11/2016;24;29;26,7;88;3,77505715;0
24/11/2016;24,2;29,1;25,9;93;0;0,5
25/11/2016;23,8;31,3;27,3;86;1,435084525;1,6
26/11/2016;24,5;31,6;27,8;86;3,42913675;4,8
27/11/2016;23,6;28;26;93;4,051784948;2,4
28/11/2016;23,6;27,55;26,3;92;0,641853886;0
29/11/2016;24,6;27,1;25,4;95;2,895911938;0
30/11/2016;24;31,7;27,4;83;1,568615918;0
12/01/2016;23,7;26,2;24,8;96;3,417726684;8,4
12/02/2016;23,4;31;27,4;85;4,268297869;0
12/03/2016;23;30,4;26,2;90;2,332143895;8,3
12/04/2016;23,4;30,6;27,7;86;2,041220329;2,2
12/05/2016;25;31,3;28,2;85;0;5,1
12/06/2016;25,7;33,4;28,5;84;0,405465108;4,9
12/07/2016;22,8;33,6;27,6;85;2,63905733;7,7
12/08/2016;22,8;32,4;28,1;82;0,262364264;6
12/09/2016;24,4;30,6;26,8;88;2,740840024;4,8
12/10/2016;24,8;31,5;27,4;83;0,741937345;3,1
12/11/2016;22,7;29,8;27,1;84;2,370243741;2,8
12/12/2016;24;31,5;28,2;78;1,916922612;0,7
13/12/2016;25;32;27,3;83;1,064710737;4,2
14/12/2016;24,6;33;27,7;83;1,960094784;6,8
15/12/2016;24,6;33,1;28,4;82;0,693147181;7,5
16/12/2016;25;32,2;27,8;85;0;7,8
17/12/2016;25,4;31,5;27,7;82;0;4,8
18/12/2016;23,8;30,2;27;87;1,410986974;5,2
19/12/2016;24;32;27,8;82;1,064710737;3,6
20/12/2016;25,5;32,7;28,7;74;0,262364264;5,4
21/12/2016;26;32,8;28,4;79;0;7,9
22/12/2016;25;32,8;28,1;81;0;6,5
23/12/2016;24,6;30,4;27,2;87;3,284663565;6,6
24/12/2016;24,8;31,3;27,1;87;0,09531018;0,1
25/12/2016;25,1;32;26,7;88;3,36729583;0,8
26/12/2016;24;30,6;27;86;3,000719815;4,6
27/12/2016;24,8;29,7;26,2;88;1,410986974;2,5
28/12/2016;23,7;28,1;25,8;87;2,617395833;1,3
29/12/2016;23,8;30,1;26,7;83;0,530628251;0,2
30/12/2016;24;31,8;27,1;84;0;1
31/12/2016;24,8;26,8;25,6;92;0;7,7
01/01/2017;24,4;31,9;27,7;83;0,182321557;8,05
01/02/2017;23,1;27,6;25,1;95;4,009149716;8,4
01/03/2017;23,1;29,7;26,5;88;1,887069649;0
01/04/2017;23,2;29,7;27,1;87;2,251291799;3,3
01/05/2017;24,8;31,5;27,8;82;0,405465108;0,5
01/06/2017;25;33,2;28,9;79;0,223143551;3,6
01/07/2017;25,8;33,6;28,8;75;0;9,2
01/08/2017;25,5;33;28,9;76;0;10,3
01/09/2017;25,2;31,8;28,1;84;0;9,2
01/10/2017;25,8;31,8;28,1;82;0;4,1
01/11/2017;24,8;32,5;27,2;83;0;7,5
01/12/2017;24,3;32;27,4;84;2,251291799;1,5
13/01/2017;24,6;32;27,4;82;0;4,6
14/01/2017;24,1;31,4;27;87;0;4,1
15/01/2017;24,4;31,05;27;85;2,151762203;3,5
16/01/2017;24,4;30,7;27,4;80;1,648658626;4,9
